?element_size,?max_von_mises_stress
3.125E-3,2.997833533485087E8
6.25E-3,2.994754329303687E8
1.25E-2,3.001296187137937E8
2.5E-2,2.997915075586333E8
5.0E-2,2.960114787488503E8
1.0E-1,2.731909343950996E8
5.0E-1,3.017513059498788E8
